trans_id,lang,translation
桜河内,zh-tw,櫻河內
上大山,ja,上大山
上大山,ja-Hrkt,かみおおやま
上大山,en,Kami-oyama
上大山,ko,가미오야마
上大山,zh-cn,上大山
上大山,zh-tw,上大山
清山,ja,清山
清山,ja-Hrkt,せいざん
清山,en,Seizan
清山,ko,세이잔
清山,zh-cn,清山
清山,zh-tw,清山
入野口,ja,入野口
入野口,ja-Hrkt,いんのぐち
志和南口,ja,志和南口
志和南口,ja-Hrkt,しわみなみぐち
志和南口,en,Shiwa-minamiguchi
志和南口,ko,시와 미나미구치
志和南口,zh-cn,志和南口
志和南口,zh-tw,誌和南口
宗吉,ja,宗吉
宗吉,ja-Hrkt,むねよし
宗吉,en,Muneyoshi
宗吉,ko,무네요시
宗吉,zh-cn,宗吉
宗吉,zh-tw,宗吉
宗吉東,ja,宗吉東
宗吉東,ja-Hrkt,むねよしひがし
宗吉東,en,Muneyoshi-higashi
宗吉東,ko,무네요시 히가시
宗吉東,zh-cn,宗吉东
宗吉東,zh-tw,宗吉東
八本松駅,ja,八本松駅
八本松駅,ja-Hrkt,はちほんまつえき
八本松駅,en,Hachihonmatsu Sta.
八本松駅,ko,하치혼마쓰 역
八本松駅,zh-cn,八本松站
八本松駅,zh-tw,八本松站
上条,ja,上条
上条,ja-Hrkt,かみじょう
下条,ja,下条
下条,ja-Hrkt,しもじょう
下条,en,Shimojo
下条,ko,시모조
下条,zh-cn,下条
下条,zh-tw,下條
下組,ja,下組
下組,ja-Hrkt,しもぐみ
八本松病院前,ja,八本松病院前
八本松病院前,ja-Hrkt,はちほんまつびょういんまえ
八本松病院前,en,Hachihonmatsu Byoin-mae (Hachihonmatsu Hospital)
八本松病院前,ko,하치혼마쓰 병원
八本松病院前,zh-cn,八本松医院前
八本松病院前,zh-tw,八本松醫院前
磯松団地,ja,磯松団地
磯松団地,ja-Hrkt,いそまつだんち
磯松団地,en,Isomatsu Danchi
磯松団地,ko,이소마쓰 단치
磯松団地,zh-cn,磯松团地
磯松団地,zh-tw,磯松團地
米満,ja,米満
米満,ja-Hrkt,よねみつ
米満,en,Yonemitsu
米満,ko,요네미쓰
米満,zh-cn,米满
米満,zh-tw,米滿
市田橋,ja,市田橋
市田橋,ja-Hrkt,いちだばし
市田橋,en,Ichidabashi
市田橋,ko,이치다바시
市田橋,zh-cn,市田桥
市田橋,zh-tw,市田橋
友待橋,ja,友待橋
友待橋,ja-Hrkt,ともまちばし
友待橋,en,Tomomachibashi
友待橋,ko,도모마치바시
友待橋,zh-cn,友待桥
友待橋,zh-tw,友待橋
下寺家,ja,下寺家
下寺家,ja-Hrkt,したじけ
下寺家,en,Shitajike
下寺家,ko,시타지케
下寺家,zh-cn,下寺家
下寺家,zh-tw,下寺家
西条東,ja,西条東
西条東,ja-Hrkt,さいじょうひがし
西条東,en,Saijo-higashi
西条東,ko,사이조 히가시
西条東,zh-cn,西条东
西条東,zh-tw,西條東
芸陽バス前,ja,芸陽バス前
芸陽バス前,ja-Hrkt,げいようばすまえ
芸陽バス前,en,Geiyo Bus-mae
芸陽バス前,ko,게이요 버스 마에
芸陽バス前,zh-cn,艺阳巴士前
芸陽バス前,zh-tw,藝陽巴士前
西条西本町,ja,西条西本町
西条西本町,ja-Hrkt,さいじょうにしほんまち
西条西本町,en,Saijo Nishi-honmachi
西条西本町,ko,사이조 니시 혼마치
