町丁目・大字別人口及び世帯,,,,,,,,,,,,,
令和8年7月末現在,,,,,,,,,,,,,
,,,,,,,,,,,,,
年,月,区名,住所名,秘匿区分,人口（総数計）:人,人口（総数男）:人,人口（総数女）:人,人口（日本人計）:人,人口（日本人男）:人,人口（日本人女）:人,人口（外国人）:人,世帯（総数）:世帯,世帯（日本人世帯）:世帯
2026,7,中区,吉島西一丁目,,"1,585",761,824,"1,541",739,802,44,897,854
2026,7,中区,吉島西二丁目,,"1,498",742,756,"1,459",713,746,39,736,702
2026,7,中区,吉島西三丁目,,"1,103",547,556,"1,093",539,554,10,515,505
2026,7,中区,吉島新町一丁目,,"1,617",739,878,"1,598",733,865,19,777,764
2026,7,中区,吉島新町二丁目,,"1,100",527,573,"1,059",504,555,41,625,590
2026,7,中区,光南一丁目,,"1,333",694,639,"1,299",675,624,34,740,708
2026,7,中区,光南二丁目,,968,493,475,950,487,463,18,620,603
2026,7,中区,光南三丁目,,770,414,356,748,400,348,22,413,393
2026,7,中区,光南四丁目,,779,375,404,763,364,399,16,406,393
2026,7,中区,光南五丁目,,422,234,188,375,199,176,47,243,203
2026,7,中区,光南六丁目,,408,194,214,397,188,209,11,188,182
2026,7,中区,南吉島一丁目,,42,18,24,40,17,23,2,26,25
2026,7,中区,南吉島二丁目,,171,82,89,171,82,89,0,100,100
2026,7,中区,舟入南一丁目,,817,372,445,795,360,435,22,448,428
2026,7,中区,舟入南二丁目,,"1,249",619,630,"1,241",616,625,8,618,611
2026,7,中区,舟入南三丁目,,"2,515","1,179","1,336","2,477","1,154","1,323",38,"1,256","1,231"
2026,7,中区,舟入南四丁目,,"1,414",667,747,"1,373",640,733,41,832,795
2026,7,中区,舟入南五丁目,,811,448,363,801,442,359,10,478,471
2026,7,中区,舟入南六丁目,,136,70,66,131,69,62,5,90,88
2026,7,中区,江波東一丁目,,"1,717",828,889,"1,694",816,878,23,950,932
2026,7,中区,江波東二丁目,,488,226,262,478,222,256,10,263,253
2026,7,中区,江波西一丁目,,"1,190",548,642,"1,174",541,633,16,649,639
2026,7,中区,江波西二丁目,,"1,465",696,769,"1,424",677,747,41,738,704
2026,7,中区,江波南一丁目,,"1,143",579,564,"1,091",535,556,52,612,568
2026,7,中区,江波南二丁目,,"2,671","1,301","1,370","2,608","1,266","1,342",63,"1,201","1,161"
2026,7,中区,江波南三丁目,@1-1,776,367,409,746,351,395,30,410,395
2026,7,中区,江波本町,,"1,584",806,778,"1,542",778,764,42,846,811
2026,7,中区,江波二本松一丁目,,760,389,371,725,374,351,35,452,422
2026,7,中区,江波二本松二丁目,,899,473,426,875,454,421,24,487,465
2026,7,中区,江波栄町,,"1,111",530,581,"1,078",516,562,33,547,527
2026,7,中区,江波沖町,*1-1,x,x,x,x,x,x,x,x,x
2026,7,東区,矢賀新町一丁目,,565,294,271,543,286,257,22,350,335
2026,7,東区,矢賀新町二丁目,,860,416,444,852,414,438,8,452,449
2026,7,東区,矢賀新町三丁目,,48,22,26,48,22,26,0,29,29
2026,7,東区,矢賀新町四丁目,,485,241,244,469,236,233,16,233,222
2026,7,東区,矢賀新町五丁目,,359,193,166,341,187,154,18,265,250
2026,7,東区,東蟹屋町,,"1,678",804,874,"1,610",758,852,68,916,866
2026,7,東区,若草町,,"1,862",842,"1,020","1,776",797,979,86,"1,312","1,252"
2026,7,東区,光町一丁目,,"1,952",882,"1,070","1,894",859,"1,035",58,"1,154","1,118"
2026,7,東区,光町二丁目,,"2,023",949,"1,074","1,968",923,"1,045",55,"1,238","1,192"
2026,7,東区,光が丘,,"1,061",518,543,"1,028",502,526,33,577,554
2026,7,東区,山根町,,"3,765","1,794","1,971","3,615","1,739","1,876",150,"1,961","1,856"
2026,7,東区,愛宕町,,403,210,193,388,205,183,15,286,276
2026,7,東区,二葉の里一丁目,,951,451,500,933,443,490,18,558,545
2026,7,東区,二葉の里二丁目,,593,279,314,592,278,314,1,333,332
2026,7,東区,二葉の里三丁目,,281,128,153,281,128,153,0,118,118
2026,7,東区,牛田東一丁目,,610,301,309,594,291,303,16,273,262
2026,7,東区,牛田東二丁目,,"1,842",839,"1,003","1,803",820,983,39,958,931
2026,7,東区,牛田東三丁目,,993,455,538,977,447,530,16,436,428
2026,7,東区,牛田東四丁目,,393,188,205,387,183,204,6,186,181
2026,7,東区,牛田南一丁目,,899,426,473,883,421,462,16,487,472
2026,7,東区,牛田南二丁目,,695,331,364,675,323,352,20,340,328
2026,7,東区,牛田早稲田一丁目,,"1,518",675,843,"1,491",662,829,27,736,719
2026,7,東区,牛田早稲田二丁目,,"1,294",601,693,"1,268",588,680,26,593,577
2026,7,東区,牛田早稲田三丁目,,"1,332",677,655,"1,305",663,642,27,427,414
2026,7,東区,牛田早稲田四丁目,,"1,844",872,972,"1,813",860,953,31,880,864
2026,7,東区,牛田中一丁目,,796,381,415,781,372,409,15,345,336
2026,7,東区,牛田中二丁目,,887,415,472,882,412,470,5,404,399
2026,7,東区,牛田本町一丁目,,745,330,415,740,329,411,5,413,408
2026,7,東区,牛田本町二丁目,,744,345,399,743,345,398,1,298,297
2026,7,東区,牛田本町三丁目,,485,211,274,483,210,273,2,240,238
2026,7,東区,牛田本町四丁目,,790,365,425,773,357,416,17,391,374
2026,7,東区,牛田本町五丁目,,859,406,453,848,400,448,11,384,379
2026,7,東区,牛田本町六丁目,,"1,794",914,880,"1,792",914,878,2,850,848
2026,7,東区,牛田旭一丁目,,"1,009",466,543,985,462,523,24,410,389
2026,7,東区,牛田旭二丁目,,"1,911",878,"1,033","1,893",868,"1,025",18,820,808
2026,7,東区,牛田新町一丁目,,"1,542",729,813,"1,521",714,807,21,830,812
2026,7,東区,牛田新町二丁目,,691,300,391,689,300,389,2,406,404
2026,7,東区,牛田新町三丁目,,"3,462","1,690","1,772","3,371","1,641","1,730",91,"1,597","1,516"
2026,7,東区,牛田新町四丁目,,"1,518",726,792,"1,491",710,781,27,716,702
2026,7,東区,上大須賀町,,632,292,340,611,281,330,21,397,381
2026,7,東区,矢賀一丁目,,833,414,419,815,408,407,18,448,432
2026,7,東区,矢賀二丁目,,891,421,470,868,412,456,23,402,389
2026,7,東区,矢賀三丁目,,690,338,352,680,335,345,10,350,344
