trans_id,lang,translation
安佐北区民文化センター入口,ko,아사키타 구민문화센터
安佐北区民文化センター入口,zh-cn,安佐北区民文化中心入口
安佐北区民文化センター入口,zh-tw,安佐北區民文化中心入口
大毛寺口,ja,大毛寺口
大毛寺口,ja-Hrkt,おおもじぐち
大毛寺口,en,Omoji-guchi
大毛寺口,ko,오모지 구치
大毛寺口,zh-cn,大毛寺口
大毛寺口,zh-tw,大毛寺口
上大毛寺,ja,上大毛寺
上大毛寺,ja-Hrkt,かみおおもじ
上大毛寺,en,Kami-omoji
上大毛寺,ko,가미오모지
上大毛寺,zh-cn,上大毛寺
上大毛寺,zh-tw,上大毛寺
勝木台上,ja,勝木台上
勝木台上,ja-Hrkt,かつぎだいかみ
勝木台上,en,Katsugidai-kami
勝木台上,ko,가쓰기다이 카미
勝木台上,zh-cn,胜木台上
勝木台上,zh-tw,勝木臺上
勝木台中,ja,勝木台中
勝木台中,ja-Hrkt,かつぎだいなか
勝木台中,en,Katsugidai-naka
勝木台中,ko,가쓰기다이 나카
勝木台中,zh-cn,胜木台中
勝木台中,zh-tw,勝木臺中
勝木台下,ja,勝木台下
勝木台下,ja-Hrkt,かつぎだいしも
勝木台下,en,Katsugidai-shimo
勝木台下,ko,가쓰기다이 시모
勝木台下,zh-cn,胜木台下
勝木台下,zh-tw,勝木臺下
勝木台入口,ja,勝木台入口
勝木台入口,ja-Hrkt,かつぎだいいりぐち
勝木台入口,en,Katsugidai-iriguchi
勝木台入口,ko,가쓰기다이 이리구치
勝木台入口,zh-cn,胜木台入口
勝木台入口,zh-tw,勝木臺入口
瑞眺苑口,ja,瑞眺苑口
瑞眺苑口,ja-Hrkt,ずいちょうえんぐち
瑞眺苑口,en,Zuichoen-guchi
瑞眺苑口,ko,즈이초엔 구치
瑞眺苑口,zh-cn,瑞眺苑口
瑞眺苑口,zh-tw,瑞眺苑口
虹山県営住宅,ja,虹山県営住宅
虹山県営住宅,ja-Hrkt,にじやまけんえいじゅうたく
虹山県営住宅,en,Nijiyama Kenei Jutaku
虹山県営住宅,ko,니지야마 켄에이 주타쿠）
虹山県営住宅,zh-cn,虹山县营住宅
虹山県営住宅,zh-tw,虹山縣營住宅
虹山団地南,ja,虹山団地南
虹山団地南,ja-Hrkt,にじやまだんちみなみ
虹山団地南,en,Nijiyama Danchi-minami
虹山団地南,ko,니지야마 단치 미나미
虹山団地南,zh-cn,虹山团地南
虹山団地南,zh-tw,虹山團地南
柳瀬,ja,柳瀬
柳瀬,ja-Hrkt,やなせ
柳瀬,en,Yanase
柳瀬,ko,야나세
柳瀬,zh-cn,柳濑
柳瀬,zh-tw,柳瀨
柳瀬中央,ja,柳瀬中央
柳瀬中央,ja-Hrkt,やなせちゅうおう
柳瀬中央,en,Yanase-chuo
柳瀬中央,ko,야나세 추오
柳瀬中央,zh-cn,柳濑中央
柳瀬中央,zh-tw,柳瀨中央
下柳瀬,ja,下柳瀬
下柳瀬,ja-Hrkt,しもやなせ
下柳瀬,en,Shimo-yanase
下柳瀬,ko,시모야나세
下柳瀬,zh-cn,下柳濑
下柳瀬,zh-tw,下柳瀨
柳瀬大橋南,ja,柳瀬大橋南
柳瀬大橋南,ja-Hrkt,ヤナセオオハシミナミ
柳瀬大橋南,en,Yanase-ohashi-minami
柳瀬大橋南,ko,야나세 오하시 미나미
柳瀬大橋南,zh-cn,柳濑大桥南
柳瀬大橋南,zh-tw,柳瀨大橋南
柳瀬大橋,ja,柳瀬大橋
柳瀬大橋,ja-Hrkt,ヤナセオオハシ
柳瀬大橋,en,Yanase-ohashi
柳瀬大橋,ko,야나세 오하시
柳瀬大橋,zh-cn,柳濑大桥
柳瀬大橋,zh-tw,柳瀨大橋
荒下,ja,荒下
荒下,ja-Hrkt,あらした
荒下,en,Arashita
荒下,ko,아라시타
荒下,zh-cn,荒下
荒下,zh-tw,荒下
北部医療センター,ja,北部医療センター
北部医療センター,ja-Hrkt,ホクブイリョウセンターアサシミンビョウイン
